name,address,lat,lon,charging_availability_id,total_connectors,available_connectors,occupied_connectors,reserved_connectors,unknown_connectors,out_of_service_connectors,max_power_kw,site_type
Q8,"Nørre Boulevard 50, 4600 Køge",55.463934,12.183875,34b70715-bf8c-8ff5-a15a-0f8e28b00615,2,1,1,0,0,0,200.0,highway_exit
Clever,"Nørregade 24G, 4600 Køge",55.458135,12.184379,1c8115ff-7e15-8ee9-a182-fc3f6e27f48f,7,4,3,0,0,0,22.0,highway_exit
Pair Recharge,"Toldbodvej 20, 4600 Køge",55.452,12.1851,,0,0,0,0,0,0,,highway_exit
EWII,"Toldbodvej 14, 4600 Køge",55.453787,12.185609,bc6771db-d9aa-42be-8687-eb3eca352f26,10,10,0,0,0,0,300.0,highway_exit
Clever,"Tangmosevej 95, 4600 Køge",55.471744,12.18579,38d12a26-0009-8b72-a99e-e0d411e9daf9,2,2,0,0,0,0,300.0,highway_exit
Clever,"Toldbodvej 19, 4600 Køge",55.451407,12.186305,3874ff00-6716-8aa6-b421-f8bfc6bdecd2,2,2,0,0,0,0,200.0,highway_exit
Clever,"Strandkvanen 6, 4600 Køge",55.452616,12.190943,0b6ce470-e300-887f-ab5e-e25289955edd,10,5,5,0,0,0,22.0,highway_exit
EWII,"Strandvejen 111, 4600 Køge",55.446805,12.192322,0124d2ba-1c59-8032-9b82-1ca6564b9730,10,7,3,0,0,0,240.0,highway_exit
EWII,"Nyboesgade 33, 7100 Vejle",55.711719,9.528585,de3679c2-ed6b-4009-ab12-516d65b7b41c,6,3,3,0,0,0,22.0,service_area
APCOA,"Blegbanken 3, 7100 Vejle",55.707478,9.529624,a2166145-c344-4100-96e0-d7bde63b2253,6,5,1,0,0,0,11.0,service_area
Clever,"Flegborg 10, 7100 Vejle",55.709884,9.530285,,0,0,0,0,0,0,,service_area
Clever,"Søndertorv 2, 7100 Vejle",55.705345,9.531287,4061ccbb-68db-4b49-a9e0-1cdcf536ae2e,2,1,1,0,0,0,22.0,service_area
Clever,"Odinsgade 43, 7100 Vejle",55.712821,9.532306,3094e181-d90c-8887-9eb6-93fed9163458,8,5,3,0,0,0,22.0,service_area
Clever,"Ved Anlæget 18, 7100 Vejle",55.71147,9.533676,2582324b-2ad1-46bc-96a6-b64055bedcb9,6,1,5,0,0,0,11.0,service_area
Clever,"Ved Anlæget 12, 7100 Vejle",55.710513,9.533719,80b605b2-ba9c-4d67-a175-a8d3032401aa,6,5,1,0,0,0,300.0,service_area
NRGi Erhverv,"Fiskergade 2, 7100 Vejle",55.706789,9.534011,3261bd7c-6afb-8830-9368-3971875a423a,4,4,0,0,0,0,22.0,service_area
EWII,"Grønnegade 9, 7100 Vejle",55.708173,9.534204,c2f6e39a-9a07-4595-8607-822a9effd729,8,6,2,0,0,0,22.0,service_area
Clever,"Borgvold 12A, 7100 Vejle",55.706179,9.534963,333b2122-1f3b-4f59-a9fb-49e05ee689a5,8,3,5,0,0,0,22.0,service_area
EWII,"Gunhilds Plads 8, 7100 Vejle",55.713592,9.535496,b66e3bea-0023-448b-b52d-4cceb9cb5671,6,3,3,0,0,0,22.0,service_area
APCOA,"Dæmningen 23, 7100 Vejle",55.709003,9.535777,11dc74b2-383a-4c26-9389-0e9def21d544,2,0,2,0,0,0,11.0,service_area
EWII,"Volmersgade 25, 7100 Vejle",55.710553,9.537646,b0f7420d-9576-430f-9ddc-c5a1b3f1dfbf,6,3,3,0,0,0,22.0,service_area
Clever,"Volmersgade 7, 7100 Vejle",55.71049,9.537674,55dda59b-78f0-4534-8c37-8402ebda00e0,6,1,5,0,0,0,22.0,service_area
OK,"Jernbanegade 28, 7100 Vejle",55.710622,9.539225,38a8fda9-b4c1-8603-9ecc-ead2e97d1437,4,3,1,0,0,0,40.0,service_area
Clever,"Jyllandsgade 5Q, 7100 Vejle",55.706727,9.539494,1ae3bb60-e202-8044-9600-ae44dce7b2fe,2,2,0,0,0,0,300.0,service_area
EWII,"Jyllandsgade 6, 7100 Vejle",55.706792,9.539592,96feb9d2-dd01-47d6-a69d-fa84efd0ddcf,4,4,0,0,0,0,400.0,service_area
EWII,"Havnepladsen 11, 7100 Vejle",55.707397,9.542248,052b5f63-b8ea-410b-9da5-e04ea09cfb5f,6,2,4,0,0,0,22.0,service_area
EWII,"Fjordgade 5, 7100 Vejle",55.709611,9.542641,4366e058-11e9-408f-949a-e7efd1989483,4,1,3,0,0,0,22.0,service_area
Clever,"Østerbrogade 27, 7100 Vejle",55.708982,9.543433,f68f7af0-207d-4cf6-bd8c-7c7b85d2df7c,12,4,8,0,0,0,300.0,service_area
